iter	Passed	Remaining
402	7378	10930
403	7398	10914
404	7420	10901
405	7441	10887
406	7463	10874
407	7486	10862
408	7511	10854
409	7533	10841
410	7555	10827
411	7581	10820
412	7604	10808
413	7630	10800
414	7657	10793
415	7680	10781
416	7704	10771
417	7730	10762
418	7757	10756
419	7783	10748
420	7824	10761
421	7850	10752
422	7874	10741
423	7897	10728
424	7923	10719
425	7945	10705
426	7968	10692
427	7994	10684
428	8019	10674
429	8046	10666
430	8080	10667
431	8111	10664
432	8144	10665
433	8174	10661
434	8195	10644
435	8220	10633
436	8243	10620
437	8266	10606
438	8292	10597
439	8316	10584
440	8346	10579
441	8375	10573
442	8398	10559
443	8426	10552
444	8457	10548
445	8480	10534
446	8506	10523
447	8527	10506
448	8548	10490
449	8575	10480
450	8598	10466
451	8624	10455
452	8647	10442
453	8674	10432
454	8700	10421
455	8727	10411
456	8748	10395
457	8776	10385
458	8803	10376
459	8828	10363
460	8855	10354
461	8881	10341
462	8904	10328
463	8927	10312
464	8952	10299
465	8973	10283
466	8995	10267
467	9020	10254
468	9042	10237
469	9068	10226
470	9090	10210
471	9112	10194
472	9137	10180
473	9160	10165
474	9184	10151
475	9206	10134
476	9227	10117
477	9252	10104
478	9275	10088
479	9299	10074
480	9323	10059
481	9345	10043
482	9371	10030
483	9392	10013
484	9417	10000
485	9439	9983
486	9461	9966
487	9486	9953
488	9509	9937
489	9534	9923
490	9558	9909
491	9588	9900
492	9610	9883
493	9639	9873
494	9661	9856
495	9685	9841
496	9711	9829
497	9735	9814
498	9757	9797
499	9781	9781
500	9805	9765
501	9834	9755
502	9860	9742
503	9889	9732
504	9914	9718
505	9941	9705
506	9968	9693
507	9992	9678
508	10017	9663
509	10039	9646
510	10067	9633
511	10089	9616
512	10114	9601
513	10136	9584
514	10159	9567
515	10184	9553
516	10207	9535
517	10230	9519
518	10254	9503
519	10277	9486
520	10301	9470
521	10324	9454
522	10351	9441
523	10379	9428
524	10404	9413
525	10428	9397
526	10452	9381
527	10478	9367
528	10502	9351
529	10530	9338
530	10553	9321
531	10582	9309
532	10606	9293
533	10631	9277
534	10653	9259
535	10685	9249
536	10713	9237
537	10734	9218
538	10756	9200
539	10787	9189
540	10813	9174
541	10838	9158
542	10862	9142
543	10885	9124
544	10916	9113
545	10938	9095
546	10962	9078
547	10984	9060
548	11008	9043
549	11031	9025
550	11053	9007
551	11079	8992
552	11101	8973
553	11149	8975
554	11172	8957
555	11198	8942
556	11221	8924
557	11247	8909
558	11270	8891
559	11296	8875
560	11318	8856
561	11342	8839
562	11364	8821
563	11388	8804
564	11419	8791
565	11447	8777
566	11473	8761
567	11499	8746
568	11526	8731
569	11552	8715
570	11584	8703
571	11617	8692
572	11646	8678
573	11671	8662
574	11697	8646
575	11725	8631
576	11754	8617
577	11776	8598
578	11801	8580
579	11827	8565
580	11851	8546
581	11875	8529
582	11899	8511
583	11928	8497
584	11951	8478
585	11975	8460
586	11998	8441
587	12023	8424
588	12045	8405
589	12072	8389
590	12095	8370
591	12117	8350
592	12142	8333
593	12165	8314
594	12189	8297
595	12214	8279
596	12238	8261
597	12261	8242
598	12282	8222
599	12306	8204
600	12328	8184
601	12350	8165
602	12376	8148
603	12398	8128
604	12423	8111
605	12448	8093
606	12473	8076
607	12497	8057
608	12524	8041
609	12547	8022
610	12570	8003
611	12591	7983
612	12611	7961
613	12630	7940
614	12652	7920
615	12673	7900
616	12695	7880
617	12715	7859
618	12737	7840
619	12757	7819
620	12776	7797
621	12797	7777
622	12823	7760
623	12842	7738
624	12862	7717
625	12881	7695
626	12903	7676
627	12923	7655
628	12942	7633
629	12968	7616
630	12990	7596
631	13013	7577
632	13039	7559
633	13058	7538
634	13078	7517
635	13100	7498
636	13125	7479
637	13145	7458
638	13166	7438
639	13189	7418
640	13212	7399
641	13233	7379
642	13252	7357
643	13275	7338
644	13298	7319
645	13320	7299
646	13341	7279
647	13367	7261
648	13387	7240
649	13406	7219
650	13428	7199
651	13447	7177
652	13467	7156
653	13488	7136
654	13508	7115
655	13538	7099
656	13561	7080
657	13581	7059
658	13600	7037
659	13621	7017
660	13641	6996
661	13662	6975
662	13687	6957
663	13713	6939
664	13739	6921
665	13766	6903
666	13790	6884
667	13814	6865
668	13834	6844
669	13858	6825
670	13886	6808
671	13909	6789
672	13932	6769
673	13952	6748
674	13976	6729
675	13998	6709
676	14030	6694
677	14053	6674
678	14081	6656
679	14104	6637
680	14133	6620
681	14166	6605
682	14217	6598
683	14247	6582
684	14266	6560
685	14285	6538
